ID,Year_Period,Jurisdiction,Case_Type,Case_Count
239,2013/2014,Ontario,General civil cases,1336510
240,2013/2014,Ontario,Total cases,2010758
241,2013/2014,Saskatchewan,Family cases,22854
242,2013/2014,Saskatchewan,General civil cases,39334
243,2013/2014,Saskatchewan,Total cases,62188
244,2013/2014,Yukon,Family cases,2296
245,2013/2014,Yukon,General civil cases,3976
246,2013/2014,Yukon,Total cases,6272
247,2014/2015,Alberta,Family cases,338320
248,2014/2015,Alberta,General civil cases,512456
249,2014/2015,Alberta,Total cases,850776
250,2014/2015,British Columbia,Family cases,231246
251,2014/2015,British Columbia,General civil cases,508586
252,2014/2015,British Columbia,Total cases,739832
253,2014/2015,Canada,Family cases,1363228
254,2014/2015,Canada,General civil cases,2468246
255,2014/2015,Canada,Total cases,3831474
256,2014/2015,New Brunswick,Family cases,26554
257,2014/2015,New Brunswick,General civil cases,40066
258,2014/2015,New Brunswick,Total cases,66620
259,2014/2015,Northwest Territories,Family cases,2796
260,2014/2015,Northwest Territories,General civil cases,3170
261,2014/2015,Northwest Territories,Total cases,5966
262,2014/2015,Nova Scotia,Family cases,55168
263,2014/2015,Nova Scotia,General civil cases,74980
264,2014/2015,Nova Scotia,Total cases,130148
265,2014/2015,Nunavut,Family cases,2862
266,2014/2015,Nunavut,General civil cases,1174
267,2014/2015,Nunavut,Total cases,4036
268,2014/2015,Ontario,Family cases,674900
269,2014/2015,Ontario,General civil cases,1268750
270,2014/2015,Ontario,Total cases,1943650
271,2014/2015,Prince Edward Island,Family cases,5744
272,2014/2015,Prince Edward Island,General civil cases,13656
273,2014/2015,Prince Edward Island,Total cases,19400
274,2014/2015,Saskatchewan,Family cases,23176
275,2014/2015,Saskatchewan,General civil cases,41518
276,2014/2015,Saskatchewan,Total cases,64694
277,2014/2015,Yukon,Family cases,2462
278,2014/2015,Yukon,General civil cases,3890
279,2014/2015,Yukon,Total cases,6352
280,2015/2016,Alberta,Family cases,345988
281,2015/2016,Alberta,General civil cases,541488
282,2015/2016,Alberta,Total cases,887476
283,2015/2016,British Columbia,Family cases,230658
284,2015/2016,British Columbia,General civil cases,512150
285,2015/2016,British Columbia,Total cases,742808
286,2015/2016,Canada,Family cases,1359964
287,2015/2016,Canada,General civil cases,2464298
288,2015/2016,Canada,Total cases,3824262
289,2015/2016,New Brunswick,Family cases,27284
290,2015/2016,New Brunswick,General civil cases,41238
291,2015/2016,New Brunswick,Total cases,68522
292,2015/2016,Northwest Territories,Family cases,3138
293,2015/2016,Northwest Territories,General civil cases,3280
294,2015/2016,Northwest Territories,Total cases,6418
295,2015/2016,Nova Scotia,Family cases,52876
296,2015/2016,Nova Scotia,General civil cases,77918
297,2015/2016,Nova Scotia,Total cases,130794
298,2015/2016,Nunavut,Family cases,3250
299,2015/2016,Nunavut,General civil cases,1134
300,2015/2016,Nunavut,Total cases,4384
301,2015/2016,Ontario,Family cases,652662
302,2015/2016,Ontario,General civil cases,1205096
303,2015/2016,Ontario,Total cases,1857758
304,2015/2016,Prince Edward Island,Family cases,6016
305,2015/2016,Prince Edward Island,General civil cases,13878
306,2015/2016,Prince Edward Island,Total cases,19894
307,2015/2016,Saskatchewan,Family cases,35998
308,2015/2016,Saskatchewan,General civil cases,64142
309,2015/2016,Saskatchewan,Total cases,100140
310,2015/2016,Yukon,Family cases,2094
311,2015/2016,Yukon,General civil cases,3974
312,2015/2016,Yukon,Total cases,6068
313,2016/2017,Alberta,Family cases,275348
314,2016/2017,Alberta,General civil cases,580156
315,2016/2017,Alberta,Total cases,855504
316,2016/2017,British Columbia,Family cases,226910
317,2016/2017,British Columbia,General civil cases,520768
318,2016/2017,British Columbia,Total cases,747678
319,2016/2017,Canada,Family cases,1262122
320,2016/2017,Canada,General civil cases,2469668
321,2016/2017,Canada,Total cases,3731790
322,2016/2017,New Brunswick,Family cases,26842
323,2016/2017,New Brunswick,General civil cases,42176
324,2016/2017,New Brunswick,Total cases,69018
325,2016/2017,Northwest Territories,Family cases,2994
326,2016/2017,Northwest Territories,General civil cases,5042
327,2016/2017,Northwest Territories,Total cases,8036
328,2016/2017,Nova Scotia,Family cases,53004
329,2016/2017,Nova Scotia,General civil cases,80572
330,2016/2017,Nova Scotia,Total cases,133576
331,2016/2017,Nunavut,Family cases,3314
332,2016/2017,Nunavut,General civil cases,1724
333,2016/2017,Nunavut,Total cases,5038
334,2016/2017,Ontario,Family cases,629046
335,2016/2017,Ontario,General civil cases,1153520
336,2016/2017,Ontario,Total cases,1782566
337,2016/2017,Prince Edward Island,Family cases,5686
338,2016/2017,Prince Edward Island,General civil cases,13154
339,2016/2017,Prince Edward Island,Total cases,18840
340,2016/2017,Saskatchewan,Family cases,37074
