Year Period,Jurisdiction,Type of case,Number of cases
2013/2014,Canada,Family cases,1378498
2013/2014,Canada,General civil cases,2548646
2013/2014,Canada,Total cases,3927144
2013/2014,New Brunswick,Family cases,29146
2013/2014,New Brunswick,General civil cases,41460
2013/2014,New Brunswick,Total cases,70606
2013/2014,Northwest Territories,Family cases,3008
2013/2014,Northwest Territories,General civil cases,3054
2013/2014,Northwest Territories,Total cases,6062
2013/2014,Nova Scotia,Family cases,55920
2013/2014,Nova Scotia,General civil cases,76644
2013/2014,Nova Scotia,Total cases,132564
2013/2014,Nunavut,Family cases,3458
2013/2014,Nunavut,General civil cases,1028
2013/2014,Nunavut,Total cases,4486
2013/2014,Ontario,Family cases,674248
2013/2014,Ontario,General civil cases,1336510
2013/2014,Ontario,Total cases,2010758
2013/2014,Saskatchewan,Family cases,22854
2013/2014,Saskatchewan,General civil cases,39334
2013/2014,Saskatchewan,Total cases,62188
2013/2014,Yukon,Family cases,2296
2013/2014,Yukon,General civil cases,3976
2013/2014,Yukon,Total cases,6272
2014/2015,Alberta,Family cases,338320
2014/2015,Alberta,General civil cases,512456
2014/2015,Alberta,Total cases,850776
2014/2015,British Columbia,Family cases,231246
2014/2015,British Columbia,General civil cases,508586
2014/2015,British Columbia,Total cases,739832
2014/2015,Canada,Family cases,1363228
2014/2015,Canada,General civil cases,2468246
2014/2015,Canada,Total cases,3831474
2014/2015,New Brunswick,Family cases,26554
2014/2015,New Brunswick,General civil cases,40066
2014/2015,New Brunswick,Total cases,66620
2014/2015,Northwest Territories,Family cases,2796
2014/2015,Northwest Territories,General civil cases,3170
2014/2015,Northwest Territories,Total cases,5966
2014/2015,Nova Scotia,Family cases,55168
2014/2015,Nova Scotia,General civil cases,74980
2014/2015,Nova Scotia,Total cases,130148
2014/2015,Nunavut,Family cases,2862
2014/2015,Nunavut,General civil cases,1174
2014/2015,Nunavut,Total cases,4036
2014/2015,Ontario,Family cases,674900
2014/2015,Ontario,General civil cases,1268750
2014/2015,Ontario,Total cases,1943650
2014/2015,Prince Edward Island,Family cases,5744
2014/2015,Prince Edward Island,General civil cases,13656
2014/2015,Prince Edward Island,Total cases,19400
2014/2015,Saskatchewan,Family cases,23176
2014/2015,Saskatchewan,General civil cases,41518
2014/2015,Saskatchewan,Total cases,64694
2014/2015,Yukon,Family cases,2462
2014/2015,Yukon,General civil cases,3890
2014/2015,Yukon,Total cases,6352
2015/2016,Alberta,Family cases,345988
2015/2016,Alberta,General civil cases,541488
2015/2016,Alberta,Total cases,887476
2015/2016,British Columbia,Family cases,230658
2015/2016,British Columbia,General civil cases,512150
2015/2016,British Columbia,Total cases,742808
2015/2016,Canada,Family cases,1359964
2015/2016,Canada,General civil cases,2464298
2015/2016,Canada,Total cases,3824262
2015/2016,New Brunswick,Family cases,27284
2015/2016,New Brunswick,General civil cases,41238
2015/2016,New Brunswick,Total cases,68522
2015/2016,Northwest Territories,Family cases,3138
2015/2016,Northwest Territories,General civil cases,3280
2015/2016,Northwest Territories,Total cases,6418
2015/2016,Nova Scotia,Family cases,52876
2015/2016,Nova Scotia,General civil cases,77918
2015/2016,Nova Scotia,Total cases,130794
2015/2016,Nunavut,Family cases,3250
2015/2016,Nunavut,General civil cases,1134
2015/2016,Nunavut,Total cases,4384
2015/2016,Ontario,Family cases,652662
2015/2016,Ontario,General civil cases,1205096
2015/2016,Ontario,Total cases,1857758
2015/2016,Prince Edward Island,Family cases,6016
2015/2016,Prince Edward Island,General civil cases,13878
2015/2016,Prince Edward Island,Total cases,19894
2015/2016,Saskatchewan,Family cases,35998
2015/2016,Saskatchewan,General civil cases,64142
2015/2016,Saskatchewan,Total cases,100140
2015/2016,Yukon,Family cases,2094
2015/2016,Yukon,General civil cases,3974
2015/2016,Yukon,Total cases,6068
2016/2017,Alberta,Family cases,275348
2016/2017,Alberta,General civil cases,580156
2016/2017,Alberta,Total cases,855504
2016/2017,British Columbia,Family cases,226910
2016/2017,British Columbia,General civil cases,520768
2016/2017,British Columbia,Total cases,747678
2016/2017,Canada,Family cases,1262122
2016/2017,Canada,General civil cases,2469668
2016/2017,Canada,Total cases,3731790
2016/2017,New Brunswick,Family cases,26842
2016/2017,New Brunswick,General civil cases,42176
2016/2017,New Brunswick,Total cases,69018
2016/2017,Northwest Territories,Family cases,2994
2016/2017,Northwest Territories,General civil cases,5042
2016/2017,Northwest Territories,Total cases,8036
2016/2017,Nova Scotia,Family cases,53004
2016/2017,Nova Scotia,General civil cases,80572
2016/2017,Nova Scotia,Total cases,133576
2016/2017,Nunavut,Family cases,3314
2016/2017,Nunavut,General civil cases,1724
2016/2017,Nunavut,Total cases,5038
2016/2017,Ontario,Family cases,629046
2016/2017,Ontario,General civil cases,1153520
2016/2017,Ontario,Total cases,1782566
2016/2017,Prince Edward Island,Family cases,5686
2016/2017,Prince Edward Island,General civil cases,13154
2016/2017,Prince Edward Island,Total cases,18840
2016/2017,Saskatchewan,Family cases,37074
2016/2017,Saskatchewan,General civil cases,68774
2016/2017,Saskatchewan,Total cases,105848
2016/2017,Yukon,Family cases,1904
2016/2017,Yukon,General civil cases,3782
2016/2017,Yukon,Total cases,5686
2017/2018,Alberta,Family cases,269498
2017/2018,Alberta,General civil cases,598744
2017/2018,Alberta,Total cases,868242
2017/2018,British Columbia,Family cases,223058
2017/2018,British Columbia,General civil cases,530126
2017/2018,British Columbia,Total cases,753184
2017/2018,Canada,Family cases,1246064
2017/2018,Canada,General civil cases,2555822
2017/2018,Canada,Total cases,3801886
2017/2018,New Brunswick,Family cases,26116
2017/2018,New Brunswick,General civil cases,40822
2017/2018,New Brunswick,Total cases,66938
2017/2018,Northwest Territories,Family cases,2638
2017/2018,Northwest Territories,General civil cases,4304
2017/2018,Northwest Territories,Total cases,6942
2017/2018,Nova Scotia,Family cases,52526
2017/2018,Nova Scotia,General civil cases,84198
2017/2018,Nova Scotia,Total cases,136724
2017/2018,Nunavut,Family cases,3672
2017/2018,Nunavut,General civil cases,1482
2017/2018,Nunavut,Total cases,5154
2017/2018,Ontario,Family cases,622604
2017/2018,Ontario,General civil cases,1209560
2017/2018,Ontario,Total cases,1832164
2017/2018,Prince Edward Island,Family cases,5464
2017/2018,Prince Edward Island,General civil cases,12142
2017/2018,Prince Edward Island,Total cases,17606
2017/2018,Saskatchewan,Family cases,38308
2017/2018,Saskatchewan,General civil cases,71162
2017/2018,Saskatchewan,Total cases,109470
2017/2018,Yukon,Family cases,2180
2017/2018,Yukon,General civil cases,3282
2017/2018,Yukon,Total cases,5462
2018/2019,Alberta,Family cases,271172
2018/2019,Alberta,General civil cases,592228
2018/2019,Alberta,Total cases,863400
2018/2019,British Columbia,Family cases,222358
2018/2019,British Columbia,General civil cases,546336
2018/2019,British Columbia,Total cases,768694
2018/2019,Canada,Family cases,1259336
2018/2019,Canada,General civil cases,2559216
2018/2019,Canada,Total cases,3818552
2018/2019,New Brunswick,Family cases,26966
2018/2019,New Brunswick,General civil cases,41646
2018/2019,New Brunswick,Total cases,68612
2018/2019,Northwest Territories,Family cases,2584
